Begrip,Context,Juridische context,Wettelijke basis,Definitie_origineel,Definitie_gecorrigeerd,Voorbeelden,Toelichting,Synoniemen,Antoniemen,Vrije input,Datum,Voorsteller,Ketenpartners,Timestamp,Regel 1,Regel 2,Regel 3,Regel 4,Regel 5,Regel 6,Regel 7,Regel 8,Regel 9,Regel 10,Regel 11,Regel 12,Regel 13,Regel 14,Regel 15,Regel 16,Regel 17,Regel 18,Regel 19,Regel 20,Regel 21,Regel 22,Regel 23,Regel 24,Regel 25,Regel 26,Regel 27,Regel 28,Regel 29,Regel 30,Regel 31,Regel 32,Regel 33,Regel 34,Regel 35,Regel 36,Versietype,Regel 37,Regel 38,Regel 39,Regel 40,Regel 41,Regel 42,Regel 43,Regel 44,Regel 45,Definitie,Expert-review,Voorbeeld_zinnen,Praktijkvoorbeelden
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,Identiteitsvaststelling betreft de procedure waarbij de unieke persoonskenmerken van een individu worden vastgelegd en geverifieerd aan de hand van een wettelijk erkend en geldig identificatiedocument.,Identiteitsvaststelling betreft de procedure waarbij de unieke persoonskenmerken van een individu worden vastgelegd en geverifieerd aan de hand van een wettelijk erkend en geldig identificatiedocument.,"1. ""Voordat de verdachte werd meegenomen naar het politiebureau, werd er een identiteitsvaststelling uitgevoerd om zijn persoonsgegevens te controleren.""
2. ""De KMAR voert bij de grenscontrole standaard een identiteitsvaststelling uit om de identiteit van de reizigers te verifiëren.""
3. ""Op basis van de Politiegegevenswet, heeft de agent een identiteitsvaststelling uitgevoerd om de identiteit van de betrokkene te bevestigen.""","Identiteitsvaststelling is een proces waarbij de identiteit van een persoon wordt bevestigd of vastgesteld. Dit kan gebeuren door het controleren van officiële identificatiedocumenten zoals paspoorten of rijbewijzen, of door het gebruik van biometrische gegevens zoals vingerafdrukken of gezichtsherkenning. In overheidsdocumenten wordt dit begrip vaak gebruikt in de context van wetshandhaving en beveiliging, bijvoorbeeld door de Koninklijke Marechaussee (KMAR) of in het strafrecht.

In de context van de Politiegegevenswet, die regels stelt voor de verwerking van persoonsgegevens door de politie, is identiteitsvaststelling een belangrijk onderdeel van het politiewerk. Het helpt bij het opsporen en vervolgen van verdachten van misdrijven, maar ook bij het beschermen van de rechten van individuen. Het is daarom van essentieel belang dat de procedures voor identiteitsvaststelling zorgvuldig worden gevolgd en dat de verzamelde gegevens correct en veilig worden verwerkt.","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsvermijding
4. Onbekendmaking
5. Identiteitsontkenning",,2025-06-10,,,2025-06-10T17:21:55.260346,✔️ CON-01: geen expliciete contextverwijzing aangetroffen,"🟡 CON-02: bronvermelding aanwezig (De definitie van 'identiteitsvaststelling' in de context van de Koninklijke Marechaussee (KMAR) en het strafrecht, gebaseerd op de Politiegegevenswet, komt voort uit verschillende bronnen:

1. Politiegegevenswet: Deze wet regelt de verwerking van politiegegevens door de politie en andere instanties die belast zijn met de uitvoering van de politietaak, zoals de KMAR. Onder deze wet heeft de politie de bevoegdheid om personen te identificeren en hun identiteit te verifiëren.

2. Wet op de identificatieplicht: Deze wet verplicht iedereen vanaf 14 jaar om een geldig identiteitsbewijs te kunnen tonen wanneer de politie of andere bevoegde instanties daarom vragen. Dit is een belangrijk instrument voor de identiteitsvaststelling.

3. Strafrecht: Het Nederlandse strafrecht geeft de politie en andere handhavingsinstanties de bevoegdheid om personen te identificeren en hun identiteit te verifiëren in het kader van strafrechtelijke onderzoeken.

4. Richtlijnen van de KMAR: De KMAR heeft eigen procedures en richtlijnen voor identiteitsvaststelling, die zijn gebaseerd op de bovengenoemde wetten en in overeenstemming zijn met de algemene politietaak.

5. Praktijkervaring en jurisprudentie: De interpretatie en toepassing van de wetten en richtlijnen in de praktijk en in rechterlijke uitspraken geven ook vorm aan de definitie van 'identiteitsvaststelling'.

6. Internationale normen en verdragen: Bijvoorbeeld de EU-richtlijnen en het Verdrag van Schengen, die regels stellen voor grenscontroles en identiteitsvaststelling.

Let op: Deze bronnen geven een algemeen overzicht en de precieze definitie van 'identiteitsvaststelling' kan variëren afhankelijk van de specifieke context en toepassing.), maar mogelijk te algemeen",✔️ ESS-01: geen doelgerichte formuleringen aangetroffen in de definitie,❌ ESS-02: geen expliciet type of instantie herkend in de definitie,❌ ESS-03: geen unieke of onderscheidende formuleringen gevonden,"❌ ESS-04: toetsbare elementen gevonden (aan de hand van), zonder duidelijke toelichting",❌ ESS-05: geen onderscheidende formulering aangetroffen in de definitie,"❌ INT-01: complexe elementen gevonden (waarbij, en), maar geen expliciet fout voorbeeld herkend",✔️ INT-02: geen beslisregels of voorwaardelijke formuleringen aangetroffen,✔️ INT-03: geen voornaamwoord-verwijzingen aangetroffen,✔️ INT-04: geen onduidelijke lidwoord-verwijzingen aangetroffen,"❌ INT-06: toelichtende elementen gevonden (waarbij), maar geen expliciet fout voorbeeld herkend","❌ INT-07: afkortingen gevonden (erkend, van, en, worden, hand, aan, de, een, unieke, geldig), maar geen toelichting of verwijzing gevonden",✅ INT-08: definitie bevat geen negatieve formuleringen,✅ INT-09: geen opsommingen gevonden in de definitie,✅ INT-10: geen ontoegankelijke of impliciete achtergrondverwijzingen gevonden,✔️ SAM-01: geen afwijkende kwalificaties aangetroffen in de definitie,✔️ SAM-02: geen herhalingen van de term of elementen ervan in de definitie,✔️ SAM-03: geen geneste of verweven definities aangetroffen,✔️ SAM-04: geen conflictieve formuleringen aangetroffen – mogelijk correct gedefinieerd,"❌ SAM-05: definitie bevat het begrip zelf ('identiteitsvaststelling'), mogelijk cirkeldefinitie",✔️ SAM-06: geen synoniemgebruik herkend,✔️ SAM-07: geen uitbreidende elementen herkend,✔️ SAM-08: geen synoniemverwijzing herkend – mogelijk correct toegepast,✔️ STR-01: geen werkwoordelijke start herkend – mogelijk goed geformuleerd,✔️ STR-02: geen herhaling van term herkend – mogelijk correct geformuleerd,✔️ STR-03: geen synonieme formulering gevonden,✔️ STR-04: geen algemene kick-off zonder toespitsing,✔️ STR-05: geen constructie-elementen gevonden,✔️ STR-06: geen formuleringen die informatiebehoefte suggereren,✔️ STR-07: geen dubbele ontkenning aangetroffen,"❌ STR-08: dubbelzinnige 'en'-constructie(s) gevonden (, en), context verduidelijken",✔️ STR-09: geen dubbelzinnige 'of'-constructies aangetroffen,✔️ VER-01: term is enkelvoudig,✔️ VER-02: definitie is enkelvoudig geformuleerd,"❌ VER-03: werkwoord niet in infinitief (), controle nodig",AI,✔️ ARAI01: geen werkwoorden als kern gevonden in de definitie,✔️ ARAI02: geen containerbegrippen zonder concretisering aangetroffen,✔️ ARAI02SUB1: geen containerbegrippen aangetroffen,✔️ ARAI02SUB2: geen ambtelijke containerbegrippen aangetroffen,✔️ ARAI03: geen subjectieve bijvoeglijke naamwoorden aangetroffen,✔️ ARAI04: geen modale hulpwerkwoorden aangetroffen,✔️ ARAI04SUB1: geen modale werkwoorden aangetroffen in de definitie,✔️ ARAI05: geen impliciete aannames aangetroffen,❌ ARAI06: definitie bevat formele opbouwfout(en): herhaalt het begrip.,,,,
,,,,,,,,,,,2025-06-11,,,2025-06-11T12:37:40.824392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,,,,,,,,,,,2025-06-11,,,2025-06-11T12:37:59.887513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,,,,,,,,,,2025-06-11,,,2025-06-11T12:38:01.288557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,,,,,,,,,2025-06-11,,,2025-06-11T12:38:04.025889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,,,,,,,,2025-06-11,,,2025-06-11T12:38:05.707757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,,,,,,,,2025-06-11,,,2025-06-11T12:38:07.488754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,Identiteitsvaststelling betreft de procedure waarbij de unieke persoonlijke kenmerken van een individu worden vastgesteld en geverifieerd aan de hand van een geldig identificatiedocument.,Identiteitsvaststelling betreft de procedure waarbij de unieke persoonlijke kenmerken van een individu worden vastgesteld en geverifieerd aan de hand van een geldig identificatiedocument.,"1. ""Bij de grenscontrole door de KMAR is de identiteitsvaststelling van reizigers een essentieel onderdeel van hun werkzaamheden.""
2. ""In het kader van het strafrecht is een correcte identiteitsvaststelling cruciaal om de juiste persoon te kunnen vervolgen voor een misdrijf.""
3. ""Volgens de Politiegegevenswet moet de identiteitsvaststelling van een verdachte zorgvuldig gebeuren om misverstanden en onterechte beschuldigingen te voorkomen.""","Identiteitsvaststelling is een proces waarbij de identiteit van een persoon wordt bevestigd. Dit kan gebeuren door middel van verschillende methoden, zoals het controleren van officiële documenten (zoals een paspoort of rijbewijs), biometrische gegevens (zoals vingerafdrukken of gezichtsherkenning) of andere persoonlijke informatie. 

In de context van overheidsdocumenten, wordt identiteitsvaststelling vaak gebruikt om te verifiëren dat de persoon die een bepaalde dienst aanvraagt of een bepaalde actie onderneemt, daadwerkelijk is wie hij of zij beweert te zijn. Dit is belangrijk om fraude en misbruik te voorkomen.

Bijvoorbeeld, binnen de Koninklijke Marechaussee (KMAR) en in het strafrecht, is identiteitsvaststelling een cruciaal onderdeel van het handhavingsproces. Het helpt om ervoor te zorgen dat de juiste persoon wordt aangehouden, berecht en gestraft voor een misdrijf.

De Politiegegevenswet biedt de wettelijke basis voor de verwerking van persoonsgegevens door de politie, inclusief gegevens die","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsvervalsing
4. Identiteitsverwaarlozing
5. Identiteitsontkenning",,2025-06-11,,,2025-06-11T12:38:51.290145,✔️ CON-01: geen expliciete contextverwijzing aangetroffen,"✔️ CON-02: bronvermelding aanwezig en voldoende specifiek → De definitie van 'identiteitsvaststelling' binnen de context van de Koninklijke Marechaussee (KMAR) en strafrecht, gebaseerd op de Politiegegevenswet, is gebaseerd op verschillende bronnen:

1. Politiegegevenswet: Deze wet regelt de verwerking van politiegegevens door politie, Koninklijke Marechaussee en bijzondere opsporingsdiensten. Volgens deze wet is identiteitsvaststelling het vaststellen van de identiteit van een persoon op basis van officiële documenten zoals een identiteitskaart of paspoort.

2. Wetboek van Strafvordering: In het Wetboek van Strafvordering (artikel 55b) wordt de bevoegdheid van de politie en KMAR om de identiteit van personen vast te stellen, beschreven. Dit kan bijvoorbeeld door het vragen naar en controleren van identiteitsbewijzen.

3. Wet op de identificatieplicht: Deze wet stelt dat iedereen vanaf 14 jaar een geldig identiteitsbewijs moet kunnen tonen als de politie of andere toezichthouders daar om vragen. 

4. Richtlijnen van de KMAR: De KMAR heeft eigen richtlijnen voor identiteitsvaststelling, die gebaseerd zijn op bovengenoemde wetten. Deze richtlijnen beschrijven hoe de KMAR in de praktijk omgaat met identiteitsvaststelling.

5. Jurisprudentie: Uitspraken van rechters kunnen ook een rol spelen bij de interpretatie van de wet en de toepassing in de praktijk. 

6. Literatuur: Er zijn verschillende wetenschappelijke en vakgerichte publicaties die het begrip 'identiteitsvaststelling' in de context van strafrecht en KMAR behandelen. 

7. Training en opleiding: In de opleiding en training van KMAR-personeel wordt aandacht besteed aan de correcte toepassing van identiteitsvaststelling in de praktijk. 

Let op: de exacte definitie en toepassing van 'identiteitsvaststelling' kan verschillen per context en jurisdictie. Het is altijd belangrijk om de meest recente wetten, richtlijnen en jurisprudentie te raadplegen.",✔️ ESS-01: geen doelgerichte formuleringen aangetroffen in de definitie,❌ ESS-02: geen expliciet type of instantie herkend in de definitie,❌ ESS-03: geen unieke of onderscheidende formuleringen gevonden,"❌ ESS-04: toetsbare elementen gevonden (aan de hand van), zonder duidelijke toelichting",❌ ESS-05: geen onderscheidende formulering aangetroffen in de definitie,"❌ INT-01: complexe elementen gevonden (waarbij, en), maar geen expliciet fout voorbeeld herkend",✔️ INT-02: geen beslisregels of voorwaardelijke formuleringen aangetroffen,✔️ INT-03: geen voornaamwoord-verwijzingen aangetroffen,✔️ INT-04: geen onduidelijke lidwoord-verwijzingen aangetroffen,"❌ INT-06: toelichtende elementen gevonden (waarbij), maar geen expliciet fout voorbeeld herkend","❌ INT-07: afkortingen gevonden (van, unieke, geldig, en, worden, de, aan, een, hand), maar geen toelichting of verwijzing gevonden",✅ INT-08: definitie bevat geen negatieve formuleringen,✅ INT-09: geen opsommingen gevonden in de definitie,✅ INT-10: geen ontoegankelijke of impliciete achtergrondverwijzingen gevonden,✔️ SAM-01: geen afwijkende kwalificaties aangetroffen in de definitie,✔️ SAM-02: geen herhalingen van de term of elementen ervan in de definitie,✔️ SAM-03: geen geneste of verweven definities aangetroffen,✔️ SAM-04: geen conflictieve formuleringen aangetroffen – mogelijk correct gedefinieerd,"❌ SAM-05: definitie bevat het begrip zelf ('identiteitsvaststelling'), mogelijk cirkeldefinitie",✔️ SAM-06: geen synoniemgebruik herkend,✔️ SAM-07: geen uitbreidende elementen herkend,✔️ SAM-08: geen synoniemverwijzing herkend – mogelijk correct toegepast,✔️ STR-01: geen werkwoordelijke start herkend – mogelijk goed geformuleerd,✔️ STR-02: geen herhaling van term herkend – mogelijk correct geformuleerd,✔️ STR-03: geen synonieme formulering gevonden,✔️ STR-04: geen algemene kick-off zonder toespitsing,✔️ STR-05: geen constructie-elementen gevonden,✔️ STR-06: geen formuleringen die informatiebehoefte suggereren,✔️ STR-07: geen dubbele ontkenning aangetroffen,"❌ STR-08: dubbelzinnige 'en'-constructie(s) gevonden (), context verduidelijken",✔️ STR-09: geen dubbelzinnige 'of'-constructies aangetroffen,✔️ VER-01: term is enkelvoudig,✔️ VER-02: definitie is enkelvoudig geformuleerd,"❌ VER-03: werkwoord niet in infinitief (), controle nodig",AI,✔️ ARAI01: geen werkwoorden als kern gevonden in de definitie,✔️ ARAI02: geen containerbegrippen zonder concretisering aangetroffen,✔️ ARAI02SUB1: geen containerbegrippen aangetroffen,✔️ ARAI02SUB2: geen ambtelijke containerbegrippen aangetroffen,✔️ ARAI03: geen subjectieve bijvoeglijke naamwoorden aangetroffen,✔️ ARAI04: geen modale hulpwerkwoorden aangetroffen,✔️ ARAI04SUB1: geen modale werkwoorden aangetroffen in de definitie,✔️ ARAI05: geen impliciete aannames aangetroffen,❌ ARAI06: definitie bevat formele opbouwfout(en): herhaalt het begrip.,Identiteitsvaststelling betreft de procedure waarbij de unieke persoonlijke kenmerken van een individu worden vastgesteld en geverifieerd aan de hand van een geldig identificatiedocument.,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,Identiteitsvaststelling betreft de procedure waarbij de unieke persoonlijke kenmerken van een individu worden vastgesteld en geverifieerd aan de hand van een geldig identificatiedocument.,Identiteitsvaststelling betreft de procedure waarbij de unieke persoonlijke kenmerken van een individu worden vastgesteld en geverifieerd aan de hand van een geldig identificatiedocument.,"1. ""Bij de grenscontrole door de KMAR is de identiteitsvaststelling van reizigers een essentieel onderdeel van hun werkzaamheden.""
2. ""In het kader van het strafrecht is een correcte identiteitsvaststelling cruciaal om de juiste persoon te kunnen vervolgen voor een misdrijf.""
3. ""Volgens de Politiegegevenswet moet de identiteitsvaststelling van een verdachte zorgvuldig gebeuren om misverstanden en onterechte beschuldigingen te voorkomen.""","Identiteitsvaststelling is een proces waarbij de identiteit van een persoon wordt bevestigd. Dit kan gebeuren door middel van verschillende methoden, zoals het controleren van officiële documenten (zoals een paspoort of rijbewijs), biometrische gegevens (zoals vingerafdrukken of gezichtsherkenning) of andere persoonlijke informatie. 

In de context van overheidsdocumenten, wordt identiteitsvaststelling vaak gebruikt om te verifiëren dat de persoon die een bepaalde dienst aanvraagt of een bepaalde actie onderneemt, daadwerkelijk is wie hij of zij beweert te zijn. Dit is belangrijk om fraude en misbruik te voorkomen.

Bijvoorbeeld, binnen de Koninklijke Marechaussee (KMAR) en in het strafrecht, is identiteitsvaststelling een cruciaal onderdeel van het handhavingsproces. Het helpt om ervoor te zorgen dat de juiste persoon wordt aangehouden, berecht en gestraft voor een misdrijf.

De Politiegegevenswet biedt de wettelijke basis voor de verwerking van persoonsgegevens door de politie, inclusief gegevens die","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsvervalsing
4. Identiteitsverwaarlozing
5. Identiteitsontkenning",,2025-06-11,,,2025-06-11T12:38:51.314551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,Identiteitsvaststelling betreft de procedure waarbij de unieke persoonlijke kenmerken van een individu worden vastgesteld en geverifieerd aan de hand van een geldig identificatiedocument.,,,
,,,,,,,,,,,2025-06-12,,,2025-06-12T09:56:45.848182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
