Titel,NLSBBInKader,NLSBBInverseBevat,NLSBBVoorkeursterm,NLSBBAlternatieveTerm,ExtNLSBBAfkorting,NLSBBZoekterm,NLSBBCode,NLSBBNaamBegrip,NLSBBDefinitie,NLSBBUitleg,NLSBBToelichting,NLSBBVoorbeeld,NLSBBHistorieNotitie,NLSBBIsTopbegripVan,NLSBBHeeftBovenliggendBegrip,NLSBBHeeftOnderliggendBegrip,NLSBBIsGerelateerdAan,NLSBBIsSpecialisatieVan,NLSBBIsGeneralisatieVan,NLSBBIsOnderdeelVan,NLSBBOmvat,NLSBBIsExemplaarVan,NLSBBIsCategorieVan,NLSBBIsExactOvereenkomstig,NLSBBIsVrijwelOvereenkomstig,NLSBBIsOvereenkomstigVerwant,NLSBBHeeftOvereenkomstigBovenliggend,NLSBBHeeftOvereenkomstigOnderliggend,NLSBBIsExactOvereenkomstigURI,NLSBBIsVrijwelOvereenkomstigURI,NLSBBIsOvereenkomstigVerwantURI,NLSBBHeeftOvereenkomstigBovenliggendURI,NLSBBHeeftOvereenkomstigOnderliggendURI,NLSBBHeeftBron,ExtNLSBBRedactioneleStatus,ExtNLSBBBeginGeldigheid,ExtNLSBBEindeGeldigheid,ExtNLSBBDatumLaatsteWijziging,NLSBBWijzigingsnotitie,NLSBBRedactioneleNotitie
Begrip:Id-6852c52b-384e-7f39-4889-ce850d09a859,Begrippenkader:Id-22dff3b8-e08a-1eb3-05ff-a6e11aa8487e,,"""aanbieden""@nl",,,,,,"""plaatsing van een bericht in de elektronische voorziening ter betekening aan degene voor wie het bestemd is.""@nl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begrip:Id-ccfff647-0734-c2f1-7b2e-c1f444f41a26,Begrippenkader:Id-22dff3b8-e08a-1eb3-05ff-a6e11aa8487e,,"""betekening""@nl",,,,,,"""overdracht van een bericht conform Titel 9.2 nWvSv.""@nl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begrip:Id-4dbbd4da-dff6-2bca-9cf1-ceb09e328b33,Begrippenkader:Id-22dff3b8-e08a-1eb3-05ff-a6e11aa8487e,,"""bericht""@nl,""message""@en",,,,,,"""inhoudelijke boodschap (in tegenstelling tot notificatie) die relevant is in het kader van de strafvordering.""@nl",,,,,,,,,,,,,,,,,Begrip:Id-a6b2fbc0-5590-372f-ed53-35f1716367d6,,,,,,,,,,,,,,
Begrip:Id-324c3104-6430-2e94-72ac-10bf608851ff,Begrippenkader:Id-22dff3b8-e08a-1eb3-05ff-a6e11aa8487e,,"""langs elektronische weg""@nl",,,,,,"""anders dan fysiek.""@nl",,,,,,,,Begrip:Id-111d5814-84d1-43a5-dbd4-43f6ee9e0a13,,,,,,,,,,,,,,,,,,,,,,,
Begrip:Id-8decb758-0e28-99af-456c-1b09340f61c8,Begrippenkader:Id-22dff3b8-e08a-1eb3-05ff-a6e11aa8487e,,"""notificatie""@nl",,,,,,"""niet-inhoudelijke boodschap waarmee de ontvanger erop wordt gewezen dat een bericht wordt aangeboden.""@nl",,,,,,,,,,,,,,,,Begrip:Id-111d5814-84d1-43a5-dbd4-43f6ee9e0a13,,,,,,,,,,,,,,,
Begrip:Id-14aff623-f8b3-97c9-1c4b-efd6adad078c,Begrippenkader:Id-22dff3b8-e08a-1eb3-05ff-a6e11aa8487e,,"""elektronische voorziening""@nl",,,,,,"""de bij of krachtens algemene maatregel van bestuur aangewezen voorziening ten behoeve van de overdracht van berichten en het indienen van stukken langs elektronische weg (artikel 1.1.11).""@nl",,,,,,,,"""Begrip:Id-c162a359-4148-d666-0def-33cac4462141"",""Begrip:Id-111d5814-84d1-43a5-dbd4-43f6ee9e0a13""",,,,,,,,,,,,,,,,,,,,,,,
Begrip:Id-36d14829-a786-98bf-e95e-6da1f3eaf415,Begrippenkader:Id-22dff3b8-e08a-1eb3-05ff-a6e11aa8487e,,"""vastgelegd in schriftelijke vorm""@nl",,,,,,"""anders dan mondeling""@nl",,,,,,,,,,,,,,,,,Begrip:Id-5c821e81-3633-e74b-7efe-d91841939009,,,,,,,,,,,,,,
Begrip:Id-6c027fcd-ffe7-d575-5562-2d602588439d,Begrippenkader:Id-22dff3b8-e08a-1eb3-05ff-a6e11aa8487e,,"""betekening door uitreiking""@nl",,,,,,"""overdracht van een bericht (de wijze waarop het in kennis stellen of ter kennis brengen van een bericht aan de ontvanger geschiedt) conform Titel 9.2 nWvSv.""@nl",,,,,,,,,,,,,,,,,Begrip:Id-1cd5bd60-891b-1ccd-38b7-a4876a72dc60,,,,,,,,,,,,,,
Begrip:Id-24dd65ab-42c2-f0d6-6bf9-1f9c771d0f68,Begrippenkader:Id-22dff3b8-e08a-1eb3-05ff-a6e11aa8487e,,"""instellen""@nl",,,,,,"""het tot stand brengen van een rechtsmiddel""@nl",,,,,,,,,,,,,,,,Begrip:Id-61b12c5b-4f0e-0323-8a7a-4608f79697ec,,,,,,,,,,,,,,,
Begrip:Id-c73fa84d-11ee-5df3-5c2c-d69350f9357c,Begrippenkader:Id-22dff3b8-e08a-1eb3-05ff-a6e11aa8487e,,"""indienen""@nl",,,,,,"""een rechtsmiddel officieel aanbieden.""@nl",,,,,,,,,,,,,,,,Begrip:Id-90fcf950-7d02-b880-b3fe-2e85ca3686a4,,,,,,,,,,,,,,,
