batch,path,path_b64,reviewed_object_id,start_line,end_line,symbol_id,role,reviewer,verified_by
BATCH-001,src/database/db_connection.py,c3JjL2RhdGFiYXNlL2RiX2Nvbm5lY3Rpb24ucHk=,51dd314b50eee56ba0378bb93f9dced0457addbb,1,192,,line_owner,codex-root,codex-kierkegaard
BATCH-001,src/database/db_connection.py,c3JjL2RhdGFiYXNlL2RiX2Nvbm5lY3Rpb24ucHk=,51dd314b50eee56ba0378bb93f9dced0457addbb,1,192,SYM-12a968ebde5c7564aaee6bf1,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/database/db_connection.py,c3JjL2RhdGFiYXNlL2RiX2Nvbm5lY3Rpb24ucHk=,51dd314b50eee56ba0378bb93f9dced0457addbb,16,192,SYM-0e02e5b92a8e751ccb828618,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/database/db_connection.py,c3JjL2RhdGFiYXNlL2RiX2Nvbm5lY3Rpb24ucHk=,51dd314b50eee56ba0378bb93f9dced0457addbb,23,25,SYM-5c656a0c5d345a7264677100,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/database/db_connection.py,c3JjL2RhdGFiYXNlL2RiX2Nvbm5lY3Rpb24ucHk=,51dd314b50eee56ba0378bb93f9dced0457addbb,27,49,SYM-e0e47142496ca34109be9fd7,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/database/db_connection.py,c3JjL2RhdGFiYXNlL2RiX2Nvbm5lY3Rpb24ucHk=,51dd314b50eee56ba0378bb93f9dced0457addbb,51,94,SYM-1791b6ab85d8f0eff8f05c79,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/database/db_connection.py,c3JjL2RhdGFiYXNlL2RiX2Nvbm5lY3Rpb24ucHk=,51dd314b50eee56ba0378bb93f9dced0457addbb,96,105,SYM-45a99ce1eeee87e807801f66,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/database/db_connection.py,c3JjL2RhdGFiYXNlL2RiX2Nvbm5lY3Rpb24ucHk=,51dd314b50eee56ba0378bb93f9dced0457addbb,107,156,SYM-4f3bd747f9165a4a557f0616,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/database/db_connection.py,c3JjL2RhdGFiYXNlL2RiX2Nvbm5lY3Rpb24ucHk=,51dd314b50eee56ba0378bb93f9dced0457addbb,158,192,SYM-21f9dc95054905c7f5eeb0ec,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/main.py,c3JjL21haW4ucHk=,ee962dd7534bb56c0c107b6dbfb280922f0fa258,1,285,,line_owner,codex-root,codex-kierkegaard
BATCH-001,src/main.py,c3JjL21haW4ucHk=,ee962dd7534bb56c0c107b6dbfb280922f0fa258,1,285,SYM-03fd7edeabd097fa572cf9f0,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/main.py,c3JjL21haW4ucHk=,ee962dd7534bb56c0c107b6dbfb280922f0fa258,56,78,SYM-e85ac3734c214ebe6957cac8,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/main.py,c3JjL21haW4ucHk=,ee962dd7534bb56c0c107b6dbfb280922f0fa258,81,117,SYM-a1bcf279b705ecc17ce66b9b,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/main.py,c3JjL21haW4ucHk=,ee962dd7534bb56c0c107b6dbfb280922f0fa258,120,150,SYM-a2955c137874344fb9945b4c,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/main.py,c3JjL21haW4ucHk=,ee962dd7534bb56c0c107b6dbfb280922f0fa258,153,280,SYM-18b961e1ef073078703aac63,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,1,790,,line_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,1,790,SYM-7079f9e524f518c24ce8553c,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,36,47,SYM-15c6514968d92b5fd832836d,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,50,92,SYM-fe13ec2e1ac8d22153acc08c,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,58,79,SYM-28cd6cb87ad85af0ea535243,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,82,84,SYM-dcb2233bee38bcfa9b6cbc68,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,86,88,SYM-a3d1da5f05d3ad0944694cd3,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,90,92,SYM-b75ffb7104af0b0a2a25717a,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,98,108,SYM-35f7450a5bfc794d67c3e816,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,111,709,SYM-69a3afb271d325f2a9e876a1,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,120,129,SYM-559f81d4af169c3b549e92ba,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,132,138,SYM-b59078c1267156bffe6020e2,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,140,150,SYM-4b934cb26729049aa88b66c9,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,152,167,SYM-a492e5fbdee3504e67509785,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,169,180,SYM-bd92584816a832bf0c477856,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,182,198,SYM-88be51ae47a5f787625ddcde,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,200,212,SYM-a3ab7a548abfadb5bf6292bc,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,214,238,SYM-013b59993ad4ccb4039b0d64,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,240,249,SYM-af1e871ec2594f2361423265,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,251,361,SYM-50f52d180ad05b86fa93598a,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,363,365,SYM-ef992aee897dfd36182fedf4,symbol_owner,codex-root,codex-kierkegaard
BATCH-001,src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,367,392,SYM-fddef24bf6cee9f212faaeac,symbol_owner,codex-root,codex-kierkegaard
