Titel,NLSBBInKader,NLSBBInverseBevat,NLSBBVoorkeursterm,NLSBBAlternatieveTerm,ExtNLSBBAfkorting,NLSBBZoekterm,NLSBBCode,NLSBBNaamBegrip,NLSBBDefinitie,NLSBBUitleg,NLSBBToelichting,NLSBBVoorbeeld,NLSBBHistorieNotitie,NLSBBIsTopbegripVan,NLSBBHeeftBovenliggendBegrip,NLSBBHeeftOnderliggendBegrip,NLSBBIsGerelateerdAan,NLSBBIsSpecialisatieVan,NLSBBIsGeneralisatieVan,NLSBBIsOnderdeelVan,NLSBBOmvat,NLSBBIsExemplaarVan,NLSBBIsCategorieVan,NLSBBIsExactOvereenkomstig,NLSBBIsVrijwelOvereenkomstig,NLSBBIsOvereenkomstigVerwant,NLSBBHeeftOvereenkomstigBovenliggend,NLSBBHeeftOvereenkomstigOnderliggend,NLSBBIsExactOvereenkomstigURI,NLSBBIsVrijwelOvereenkomstigURI,NLSBBIsOvereenkomstigVerwantURI,NLSBBHeeftOvereenkomstigBovenliggendURI,NLSBBHeeftOvereenkomstigOnderliggendURI,NLSBBHeeftBron,ExtNLSBBRedactioneleStatus,ExtNLSBBBeginGeldigheid,ExtNLSBBEindeGeldigheid,ExtNLSBBDatumLaatsteWijziging,NLSBBWijzigingsnotitie,NLSBBRedactioneleNotitie
Begrip:Id-315eb752-ea60-1739-67c4-72965b3467b3,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""grondslagsoort""@nl",,,,,grondslagsoort,"""Typering van een grondslag""@nl",,"""De volgende grondslagsoorten zijn onderkend:
 · Verdenking van een strafbaar feit,
 · Verdenking van een strafbaar feit en twijfel over de identiteit,
 · Verdenking van een strafbaar feit waarvoor voorlopige hechtenis is toegestaan
 · Geen zelfstandige grondslag: gebruikt bij verrijkingen na geslaagde verificatie""@nl",,,,,,,,,,,,Begrip:Id-a0c9512b-b8c6-8a0f-516a-3dd950f4dad8,,,,,,,,,,,,,,,,,
Begrip:Id-8744e2b7-fa31-98f7-ea8e-9dac3f05996e,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""meest betrouwbare identiteitsgegevens""@nl",,"""MBIG""@nl","""MBIG""@nl",,"meest betrouwbare identiteitsgegevens","""De identiteitsgegevens die met de hoogste waarschijnlijkheid een correcte weergave zijn van de identiteit van een natuurlijk persoon.""@nl",,"""Deze set kan samengesteld zijn uit verschillende identiteitsvaststellingen van deze persoon.

Dit begrip is de opvolger van de Leidende Administratieve Identiteit.""@nl",,,,,,"""Begrip:Id-d5b5f75a-0ee1-b86b-18ad-8f3ad2eaff87"",""Begrip:Id-9ab73867-114e-5fa7-c369-f88427b51326"",""Begrip:Id-815015e9-00d8-ec51-92be-e7892ea85220""",,,,,,,,,,,,,,,,,,,,,,,
Begrip:Id-9608880e-4ddb-4aa1-afb8-d5fec5713b65,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""traject""@nl","""""@nl",,,,traject,"""de gang van een individuele zaak resp. verdachte/veroordeelde door de keten naar aanleiding van een specifiek delict (of verdenking)""@nl",,,,,,,,Begrip:Id-b977881c-e22f-cd2d-6dbb-d067d54469bf,,,,,,,,,,,,,,,,,,,,,,,"""traject is niet specifiek genoeg. Voorstel om strafrechttraject als voorkeursterm te nemen.""@nl"
Begrip:Id-7a066202-5ae5-6881-1912-8be8e54b7f42,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""biometrie""@nl",,,,,biometrie,"""Het bepalen van individualiserende kenmerken zoals fysieke kenmerken, fysiologische kenmerken of gedragskenmerken van een persoon middels een specifieke technische verwerking""@nl",,"""https://en.wikipedia.org/wiki/Biometrics: the technical term for body measurements and calculations; it refers to metrics related to human characteristics. Er is onderscheid in veranderlijkheid: 
 · tamelijk veranderlijk: haarkleur, haardracht 
 · tamelijk onveranderlijk: DNA, vingerafdrukken, geslacht, gelaatskenmerken, kleur ogen, gebitskenmerken, iris-patroon, handpalm-patroon, tatoeages, lengte
 · Biometrische gegevens zoals vingerafdrukken zijn bijzonder individueel en kunnen dus goed gebruikt worden om personen te onderscheiden. 
 · Deze architectuur schaart een foto ook onder de biometrische kenmerken, hoewel dit strikt genomen geen biometrie is. Pas nadat specifieke kenmerken van een gelaatsfoto middels een technische verwerking zijn omgezet in een biometrische template, is er sprake van biometrie. Een gelaatsfoto is natuurlijk wel een persoonsgegeven (zie art. 4, 6, 9 en 10 AVG en art. 3 t/m 10 RGR).""@nl",,,,,,"""Begrip:Id-6492eb0e-8c32-5da7-39e6-82809f05c62f"",""Begrip:Id-9ab73867-114e-5fa7-c369-f88427b51326""",,,,,,,,,,,,,,,,,,,,,,,"""Het woordje 'zoals' in een definitie is verboden!""@nl,""Vergelijk 'individualiserend kenmerk' met 'identiteitskenmerk'""@nl"
Begrip:Id-bbd52a66-f08c-35b5-6014-fb061b3be20b,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""identiteitsbehandeling""@nl",,,,,identiteitsbehandeling,"""Het geheel van activiteiten en voorzieningen in de strafrechtketen om de juiste en rechtmatige verwerking van identiteitsgegevens van verdachten en veroordeelden te borgen.""@nl",,,,,,,,Begrip:Id-d5b5f75a-0ee1-b86b-18ad-8f3ad2eaff87,,,,,,,,,,,,,,,,,,,,,,,"""In hoeverre gaat het alleen om verdachten/veroordeelden? Kan dit ook breder van toepassig zijn voor andere betrokkenen: getuigen, slachtoffers, nabestaanden, ...""@nl"
Begrip:Id-6492eb0e-8c32-5da7-39e6-82809f05c62f,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""identiteitskenmerk""@nl",,,,,identiteitskenmerk,"""Eigenschap van een persoon die helpt om deze persoon te onderscheiden van anderen.""@nl",,"""Hier gaat het om de eigenschap (bijv. gezicht) van of de toegekende beschrijving (bijv. naam) aan de persoon in de werkelijkheid.""@nl",,,,,,"""Begrip:Id-7a066202-5ae5-6881-1912-8be8e54b7f42"",""Begrip:Id-d5b5f75a-0ee1-b86b-18ad-8f3ad2eaff87"",""Begrip:Id-b5bdfc8b-1644-9d39-0903-039a1a915efe"",""Begrip:Id-fdb424f4-522f-b60b-be69-5f78a7334202"",""Begrip:Id-9ab73867-114e-5fa7-c369-f88427b51326""",,,,,,,,,,,,,,,,,,,,,,,
Begrip:Id-d5b5f75a-0ee1-b86b-18ad-8f3ad2eaff87,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""identiteitsgegeven""@nl","""identificerend persoonsgegeven""@nl",,,,identiteitsgegeven,"""De beschrijving van een identiteitskenmerk""@nl",,"""Dit is de beschrijving van identiteitskenmerken in een registratie.
 · Identiteitsgegevens kennen verschillende mate van selectiviteit van een persoon; het ene kenmerk (‘vingerafdruk’) is met meer zekerheid te koppelen aan een specifieke persoon dan een ander kenmerk (‘haarkleur’).""@nl",,,,,,"""Begrip:Id-8744e2b7-fa31-98f7-ea8e-9dac3f05996e"",""Begrip:Id-bbd52a66-f08c-35b5-6014-fb061b3be20b"",""Begrip:Id-6492eb0e-8c32-5da7-39e6-82809f05c62f"",""Begrip:Id-b696108b-ad24-66d6-42e1-4a38ed257cbb"",""Begrip:Id-322d7d0d-5192-e4da-72f5-ac2d22606dc1"",""Begrip:Id-06e26c78-be3b-4983-9a08-630e8138b0bc"",""Begrip:Id-fdb424f4-522f-b60b-be69-5f78a7334202"",""Begrip:Id-815015e9-00d8-ec51-92be-e7892ea85220""",,,,,,,,,,,,,,,,,,,,,,,"""Algemene uitspraak (en dus begrippen introduceren) over de relatie tussen kenmerk en gegeven""@nl"
Begrip:Id-a0c9512b-b8c6-8a0f-516a-3dd950f4dad8,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""grondslag""@nl",,,,,grondslag,"""Verdenking of veroordeling die de strafrechtketen het recht geeft identiteitsgegevens in de strafrechtketen te verwerken""@nl",,,,,,,,,,,,,Begrip:Id-315eb752-ea60-1739-67c4-72965b3467b3,,,,,,,,,,,,,,,,,,"""Grondslag is breder dan verdenking of veroordeling.""@nl,""Grondslag gaat over meer dan alleen verwerken van identiteitsgegevens, maar meer over de basis van enige bevoegdheid in de strafrechtketen.""@nl"
Begrip:Id-b9e6da25-24b7-d14c-bdf4-a8d61b7ff104,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""Strafrechtketennummer (SKN)""@nl",,,,,"Strafrechtketennummer (SKN)","""het nummer zoals bedoeld in art. 27b lid 1 WvSv waaronder verdachten en veroordeelden in de strafrechtketen en de SKDB uniek worden aangeduid""@nl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begrip:Id-b977881c-e22f-cd2d-6dbb-d067d54469bf,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""strafrechtproces""@nl",,,,,strafrechtproces,"""het proces van toepassing van het strafrecht, bestaande uit de stappen opsporen, vervolgen, berechten en tenuitvoerleggen""@nl",,,,,,,,"""Begrip:Id-9608880e-4ddb-4aa1-afb8-d5fec5713b65"",""Begrip:Id-ceb536a3-170d-b91a-9366-ff00e665ad08"",""Begrip:Id-a9c1a88f-806b-3946-f71c-cfa2696ede99"",""Begrip:Id-922460c6-8ccf-ba9e-8a95-cc8d44e4c726""",,,,,,,,,,,,,,,,,,,,,,,
Begrip:Id-b5bdfc8b-1644-9d39-0903-039a1a915efe,Begrippenkader:Id-3e02b8c4-897f-0714-a58d-06aad7ca316d,,"""vaststellingswijze""@nl",,,,,vaststellingswijze,"""De methode gebruikt bij de inwinning en verificatie van een identiteitskenmerk""@nl",,"""De vaststellingswijze laat bijvoorbeeld zien of de naam is verkregen door eigen opgave, afgeleid uit een identiteitsmiddel, een (gekwalificeerd) identiteitsbewijs en of deze gegeven geverifieerd zijn in registers. 
  
Latere gebruikers van deze identiteitsgegevens kunnen hiermee nagaan of de betrouwbaarheid van deze gegevens hoog genoeg is voor de beslissing die zij dan moeten nemen.""@nl",,,,,,"""Begrip:Id-6492eb0e-8c32-5da7-39e6-82809f05c62f"",""Begrip:Id-b696108b-ad24-66d6-42e1-4a38ed257cbb"",""Begrip:Id-fdb424f4-522f-b60b-be69-5f78a7334202""",,,,,,,,,,,,,,,,,,,,,,,
