Begrip;definitie;Categorie;organisatorische_context;juridische_context;wettelijke_basis;UFO_Categorie;Voorkeursterm;Synoniemen;Toelichting;Toelichting (optioneel)
grondslagsoort;"""Typering van een grondslag""@nl";;Strafrechtketen;Strafrecht;;;"""grondslagsoort""@nl";;"""De volgende grondslagsoorten zijn onderkend:
 · Verdenking van een strafbaar feit,
 · Verdenking van een strafbaar feit en twijfel over de identiteit,
 · Verdenking van een strafbaar feit waarvoor voorlopige hechtenis is toegestaan
 · Geen zelfstandige grondslag: gebruikt bij verrijkingen na geslaagde verificatie""@nl";
meest betrouwbare identiteitsgegevens;"""De identiteitsgegevens die met de hoogste waarschijnlijkheid een correcte weergave zijn van de identiteit van een natuurlijk persoon.""@nl";;Strafrechtketen;Strafrecht;;;"""meest betrouwbare identiteitsgegevens""@nl";;"""Deze set kan samengesteld zijn uit verschillende identiteitsvaststellingen van deze persoon.

Dit begrip is de opvolger van de Leidende Administratieve Identiteit.""@nl";
traject;"""de gang van een individuele zaak resp. verdachte/veroordeelde door de keten naar aanleiding van een specifiek delict (of verdenking)""@nl";;Strafrechtketen;Strafrecht;;;"""traject""@nl";"""""@nl";;"""traject is niet specifiek genoeg. Voorstel om strafrechttraject als voorkeursterm te nemen.""@nl"
biometrie;"""Het bepalen van individualiserende kenmerken zoals fysieke kenmerken, fysiologische kenmerken of gedragskenmerken van een persoon middels een specifieke technische verwerking""@nl";;Strafrechtketen;Strafrecht;;;"""biometrie""@nl";;"""https://en.wikipedia.org/wiki/Biometrics: the technical term for body measurements and calculations; it refers to metrics related to human characteristics. Er is onderscheid in veranderlijkheid: 
 · tamelijk veranderlijk: haarkleur, haardracht 
 · tamelijk onveranderlijk: DNA, vingerafdrukken, geslacht, gelaatskenmerken, kleur ogen, gebitskenmerken, iris-patroon, handpalm-patroon, tatoeages, lengte
 · Biometrische gegevens zoals vingerafdrukken zijn bijzonder individueel en kunnen dus goed gebruikt worden om personen te onderscheiden. 
 · Deze architectuur schaart een foto ook onder de biometrische kenmerken, hoewel dit strikt genomen geen biometrie is. Pas nadat specifieke kenmerken van een gelaatsfoto middels een technische verwerking zijn omgezet in een biometrische template, is er sprake van biometrie. Een gelaatsfoto is natuurlijk wel een persoonsgegeven (zie art. 4, 6, 9 en 10 AVG en art. 3 t/m 10 RGR).""@nl";"""Het woordje 'zoals' in een definitie is verboden!""@nl,""Vergelijk 'individualiserend kenmerk' met 'identiteitskenmerk'""@nl"
identiteitsbehandeling;"""Het geheel van activiteiten en voorzieningen in de strafrechtketen om de juiste en rechtmatige verwerking van identiteitsgegevens van verdachten en veroordeelden te borgen.""@nl";;Strafrechtketen;Strafrecht;;;"""identiteitsbehandeling""@nl";;;"""In hoeverre gaat het alleen om verdachten/veroordeelden? Kan dit ook breder van toepassig zijn voor andere betrokkenen: getuigen, slachtoffers, nabestaanden, ...""@nl"
identiteitskenmerk;"""Eigenschap van een persoon die helpt om deze persoon te onderscheiden van anderen.""@nl";;Strafrechtketen;Strafrecht;;;"""identiteitskenmerk""@nl";;"""Hier gaat het om de eigenschap (bijv. gezicht) van of de toegekende beschrijving (bijv. naam) aan de persoon in de werkelijkheid.""@nl";
identiteitsgegeven;"""De beschrijving van een identiteitskenmerk""@nl";;Strafrechtketen;Strafrecht;;;"""identiteitsgegeven""@nl";"""identificerend persoonsgegeven""@nl";"""Dit is de beschrijving van identiteitskenmerken in een registratie.
 · Identiteitsgegevens kennen verschillende mate van selectiviteit van een persoon; het ene kenmerk (‘vingerafdruk’) is met meer zekerheid te koppelen aan een specifieke persoon dan een ander kenmerk (‘haarkleur’).""@nl";"""Algemene uitspraak (en dus begrippen introduceren) over de relatie tussen kenmerk en gegeven""@nl"
grondslag;"""Verdenking of veroordeling die de strafrechtketen het recht geeft identiteitsgegevens in de strafrechtketen te verwerken""@nl";;Strafrechtketen;Strafrecht;;;"""grondslag""@nl";;;"""Grondslag is breder dan verdenking of veroordeling.""@nl,""Grondslag gaat over meer dan alleen verwerken van identiteitsgegevens, maar meer over de basis van enige bevoegdheid in de strafrechtketen.""@nl"
Strafrechtketennummer (SKN);"""het nummer zoals bedoeld in art. 27b lid 1 WvSv waaronder verdachten en veroordeelden in de strafrechtketen en de SKDB uniek worden aangeduid""@nl";;Strafrechtketen;Strafrecht;;;"""Strafrechtketennummer (SKN)""@nl";;;
strafrechtproces;"""het proces van toepassing van het strafrecht, bestaande uit de stappen opsporen, vervolgen, berechten en tenuitvoerleggen""@nl";;Strafrechtketen;Strafrecht;;;"""strafrechtproces""@nl";;;
vaststellingswijze;"""De methode gebruikt bij de inwinning en verificatie van een identiteitskenmerk""@nl";;Strafrechtketen;Strafrecht;;;"""vaststellingswijze""@nl";;"""De vaststellingswijze laat bijvoorbeeld zien of de naam is verkregen door eigen opgave, afgeleid uit een identiteitsmiddel, een (gekwalificeerd) identiteitsbewijs en of deze gegeven geverifieerd zijn in registers. 
  
Latere gebruikers van deze identiteitsgegevens kunnen hiermee nagaan of de betrouwbaarheid van deze gegevens hoog genoeg is voor de beslissing die zij dan moeten nemen.""@nl";
verifiëren;"""Het vergelijken van de ingewonnen identiteitsgegevens van een persoon met een andere set identiteitsgegevens in een 1-op-1-vergelijking.""@nl";;Strafrechtketen;Strafrecht;;;"""verifiëren""@nl";"""verificatie""@nl";"""De andere set kan afkomstig zijn van een identiteitsbewijs of een specifiek record uit een register zoals de SKDB.""@nl";"""Verifiëren gebruiken voor het proces, verificatie voor het resultaat daarvan""@nl"
